timestamp_utc,game_id,commence_time,home_team,away_team,bookmaker,team,spread,price
2026-09-15T17:17:37Z,f06e90b4212fb514f3564ded9f190107,2026-09-17T23:30:00Z,Pittsburgh Panthers,Syracuse Orange,draftkings,Pittsburgh Panthers,-10.5,-105
2026-09-15T17:17:37Z,f06e90b4212fb514f3564ded9f190107,2026-09-17T23:30:00Z,Pittsburgh Panthers,Syracuse Orange,draftkings,Syracuse Orange,10.5,-115
2026-09-15T17:17:37Z,f06e90b4212fb514f3564ded9f190107,2026-09-17T23:30:00Z,Pittsburgh Panthers,Syracuse Orange,fanduel,Pittsburgh Panthers,-10.5,100
2026-09-15T17:17:37Z,f06e90b4212fb514f3564ded9f190107,2026-09-17T23:30:00Z,Pittsburgh Panthers,Syracuse Orange,fanduel,Syracuse Orange,10.5,-122
2026-09-15T17:17:37Z,f06e90b4212fb514f3564ded9f190107,2026-09-17T23:30:00Z,Pittsburgh Panthers,Syracuse Orange,mybookieag,Pittsburgh Panthers,-10.5,-110
2026-09-15T17:17:37Z,f06e90b4212fb514f3564ded9f190107,2026-09-17T23:30:00Z,Pittsburgh Panthers,Syracuse Orange,mybookieag,Syracuse Orange,10.5,-110
2026-09-15T17:17:37Z,f06e90b4212fb514f3564ded9f190107,2026-09-17T23:30:00Z,Pittsburgh Panthers,Syracuse Orange,betrivers,Pittsburgh Panthers,-10.0,-112
2026-09-15T17:17:37Z,f06e90b4212fb514f3564ded9f190107,2026-09-17T23:30:00Z,Pittsburgh Panthers,Syracuse Orange,betrivers,Syracuse Orange,10.0,-112
2026-09-15T17:17:37Z,f06e90b4212fb514f3564ded9f190107,2026-09-17T23:30:00Z,Pittsburgh Panthers,Syracuse Orange,lowvig,Pittsburgh Panthers,-10.5,-101
2026-09-15T17:17:37Z,f06e90b4212fb514f3564ded9f190107,2026-09-17T23:30:00Z,Pittsburgh Panthers,Syracuse Orange,lowvig,Syracuse Orange,10.5,-111
2026-09-15T17:17:37Z,f06e90b4212fb514f3564ded9f190107,2026-09-17T23:30:00Z,Pittsburgh Panthers,Syracuse Orange,betonlineag,Pittsburgh Panthers,-10.5,-105
2026-09-15T17:17:37Z,f06e90b4212fb514f3564ded9f190107,2026-09-17T23:30:00Z,Pittsburgh Panthers,Syracuse Orange,betonlineag,Syracuse Orange,10.5,-115
2026-09-15T17:17:37Z,f06e90b4212fb514f3564ded9f190107,2026-09-17T23:30:00Z,Pittsburgh Panthers,Syracuse Orange,betmgm,Pittsburgh Panthers,-10.0,-112
2026-09-15T17:17:37Z,f06e90b4212fb514f3564ded9f190107,2026-09-17T23:30:00Z,Pittsburgh Panthers,Syracuse Orange,betmgm,Syracuse Orange,10.0,-105
2026-09-15T17:17:37Z,f06e90b4212fb514f3564ded9f190107,2026-09-17T23:30:00Z,Pittsburgh Panthers,Syracuse Orange,betus,Pittsburgh Panthers,-10.5,-105
